Variable,Value
makam,hicaz
form,sarki
usul,semai
title,bulbulun_cilesi
composer,yusuf_nalkesen
filename,hicaz--sarki--semai--bulbulun_cilesi--yusuf_nalkesen.txt
note_count,254
unique_note_count,12
minimum_koma53,-1
maximum_koma53,362
mean_koma53,328.4763779527559
median_koma53,336.0
std_koma53,40.09363340722996
koma53_range,363
total_unit_duration,63.25
minimum_unit_duration,0.0625
maximum_unit_duration,1.5
mean_unit_duration,0.24901574803149606
median_unit_duration,0.25
std_unit_duration,0.24094062982983572
most_common_note,D5
most_common_note_count,48
