Variable,Value
makam,hicaz
form,sarki
usul,yuruksemai_ii
title,beyaz_ten
composer,
filename,hicaz--sarki--yuruksemai_ii--beyaz_ten--.txt
note_count,211
unique_note_count,10
minimum_koma53,-1
maximum_koma53,358
mean_koma53,320.6492890995261
median_koma53,327.0
std_koma53,41.124089070436156
koma53_range,359
total_unit_duration,30.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.14277251184834122
median_unit_duration,0.125
std_unit_duration,0.0971064237139733
most_common_note,C5#4
most_common_note_count,42
