Variable,Value
makam,hicaz
form,turku
usul,nimsofyan
title,bahcelerde_mor
composer,istanbul
filename,hicaz--turku--nimsofyan--bahcelerde_mor--istanbul.txt
note_count,56
unique_note_count,8
minimum_koma53,-1
maximum_koma53,340
mean_koma53,311.05357142857144
median_koma53,322.0
std_koma53,43.82586187208609
koma53_range,341
total_unit_duration,5.5
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.09821428571428571
median_unit_duration,0.0625
std_unit_duration,0.07710782634153866
most_common_note,C5#4
most_common_note_count,14
