Variable,Value
makam,hicaz
form,turku
usul,yuruksemai_ii
title,bitliste_bes
composer,
filename,hicaz--turku--yuruksemai_ii--bitliste_bes--.txt
note_count,229
unique_note_count,5
minimum_koma53,0
maximum_koma53,336
mean_koma53,317.6768558951965
median_koma53,322.0
std_koma53,22.894886364649107
koma53_range,336
total_unit_duration,48.25
minimum_unit_duration,0.125
maximum_unit_duration,0.75
mean_unit_duration,0.21069868995633187
median_unit_duration,0.125
std_unit_duration,0.15023794299650176
most_common_note,D5
most_common_note_count,72
