Variable,Value
makam,hicaz_humayun
form,turku
usul,nimsofyan
title,gul_yuzun
composer,urfa
filename,hicaz_humayun--turku--nimsofyan--gul_yuzun--urfa.txt
note_count,240
unique_note_count,7
minimum_koma53,-1
maximum_koma53,349
mean_koma53,322.15416666666664
median_koma53,327.0
std_koma53,37.87345676507655
koma53_range,350
total_unit_duration,19.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.08020833333333334
median_unit_duration,0.0625
std_unit_duration,0.05321043360162107
most_common_note,D5
most_common_note_count,63
