Variable,Value
makam,hicaz_uzzal
form,beste
usul,lenkfahte
title,baktikca_husn_u
composer,suphi_ezgi
filename,hicaz_uzzal--beste--lenkfahte--baktikca_husn_u--suphi_ezgi.txt
note_count,424
unique_note_count,16
minimum_koma53,-1
maximum_koma53,367
mean_koma53,306.7122641509434
median_koma53,327.0
std_koma53,81.77705517019007
koma53_range,368
total_unit_duration,75.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.17747641509433962
median_unit_duration,0.125
std_unit_duration,0.13395433631596598
most_common_note,C5#4
most_common_note_count,64
