Variable,Value
makam,hicaz_uzzal
form,sarki
usul,duyek
title,ciksam_su
composer,arif_sami_toker
filename,hicaz_uzzal--sarki--duyek--ciksam_su--arif_sami_toker.txt
note_count,338
unique_note_count,13
minimum_koma53,-1
maximum_koma53,363
mean_koma53,321.7810650887574
median_koma53,336.0
std_koma53,61.005953856848116
koma53_range,364
total_unit_duration,50.375
minimum_unit_duration,0.020833333333333332
maximum_unit_duration,1.0
mean_unit_duration,0.14903846153846154
median_unit_duration,0.08333333333333333
std_unit_duration,0.1729038925483115
most_common_note,E5
most_common_note_count,75
