Variable,Value
makam,hicaz_uzzal
form,sarki
usul,duyek
title,deli_gonul
composer,sadettin_kaynak
filename,hicaz_uzzal--sarki--duyek--deli_gonul--sadettin_kaynak.txt
note_count,243
unique_note_count,11
minimum_koma53,-1
maximum_koma53,358
mean_koma53,298.22222222222223
median_koma53,336.0
std_koma53,102.51635628418093
koma53_range,359
total_unit_duration,37.125
minimum_unit_duration,0.0625
maximum_unit_duration,1.875
mean_unit_duration,0.1527777777777778
median_unit_duration,0.125
std_unit_duration,0.18938446946021542
most_common_note,G5
most_common_note_count,43
