Variable,Value
makam,hicaz_uzzal
form,sarki
usul,nimsofyan
title,yar_saclari
composer,yesari_asim_arsoy
filename,hicaz_uzzal--sarki--nimsofyan--yar_saclari--yesari_asim_arsoy.txt
note_count,306
unique_note_count,11
minimum_koma53,-1
maximum_koma53,366
mean_koma53,330.4542483660131
median_koma53,336.0
std_koma53,45.66814937281904
koma53_range,367
total_unit_duration,36.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.1184640522875817
median_unit_duration,0.125
std_unit_duration,0.07461080668386402
most_common_note,E5
most_common_note_count,57
