Variable,Value
makam,hicaz_uzzal
form,sarki
usul,senginsemai
title,yillar_ne_cabuk
composer,bimen_sen
filename,hicaz_uzzal--sarki--senginsemai--yillar_ne_cabuk--bimen_sen.txt
note_count,519
unique_note_count,16
minimum_koma53,0
maximum_koma53,380
mean_koma53,332.4450867052023
median_koma53,336.0
std_koma53,23.651107256565805
koma53_range,380
total_unit_duration,72.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.13921001926782273
median_unit_duration,0.0625
std_unit_duration,0.1219825064037153
most_common_note,E5
most_common_note_count,86
