Variable,Value
makam,hicaz_uzzal
form,sarki
usul,yuruksemai
title,affeyle_sucum
composer,sevki_bey
filename,hicaz_uzzal--sarki--yuruksemai--affeyle_sucum--sevki_bey.txt
note_count,304
unique_note_count,13
minimum_koma53,-1
maximum_koma53,380
mean_koma53,332.98026315789474
median_koma53,336.0
std_koma53,41.37464193573229
koma53_range,381
total_unit_duration,59.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.19490131578947367
median_unit_duration,0.125
std_unit_duration,0.10948099190737204
most_common_note,E5
most_common_note_count,64
