Variable,Value
makam,hicaz_uzzal
form,seyir
usul,duyek
title,1
composer,ismail_hakki_ozkan
filename,hicaz_uzzal--seyir--duyek--1--ismail_hakki_ozkan.txt
note_count,107
unique_note_count,12
minimum_koma53,-1
maximum_koma53,371
mean_koma53,325.5327102803738
median_koma53,336.0
std_koma53,48.20911949997055
koma53_range,372
total_unit_duration,12.0
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.11214953271028037
median_unit_duration,0.0625
std_unit_duration,0.0855227740537867
most_common_note,E5
most_common_note_count,20
