Variable,Value
makam,hicaz_zirgule
form,sarki
usul,aksak
title,beni_canimdan
composer,muzaffer_ilkar
filename,hicaz_zirgule--sarki--aksak--beni_canimdan--muzaffer_ilkar.txt
note_count,473
unique_note_count,12
minimum_koma53,-1
maximum_koma53,367
mean_koma53,314.75475687103597
median_koma53,327.0
std_koma53,69.89443540987304
koma53_range,368
total_unit_duration,54.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.11442917547568711
median_unit_duration,0.0625
std_unit_duration,0.07700303176645384
most_common_note,E5
most_common_note_count,86
