Variable,Value
makam,hicazkar
form,aranagme
usul,duyek
title,
composer,
filename,hicazkar--aranagme--duyek----.txt
note_count,81
unique_note_count,9
minimum_koma53,0
maximum_koma53,349
mean_koma53,318.5925925925926
median_koma53,327.0
std_koma53,38.90654757806769
koma53_range,349
total_unit_duration,8.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.10030864197530864
median_unit_duration,0.0625
std_unit_duration,0.10158846415505413
most_common_note,D5
most_common_note_count,20
