Variable,Value
makam,hicazkar
form,kocekce
usul,aydin
title,yabandan_geldim
composer,muallim_ismail_hakki_bey
filename,hicazkar--kocekce--aydin--yabandan_geldim--muallim_ismail_hakki_bey.txt
note_count,335
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,311.68059701492535
median_koma53,327.0
std_koma53,76.55264760888373
koma53_range,372
total_unit_duration,49.625
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.14813432835820894
median_unit_duration,0.125
std_unit_duration,0.05386683667605396
most_common_note,G5
most_common_note_count,56
