Variable,Value
makam,hicazkar
form,pesrev
usul,berefsan
title,
composer,gazi_giray_han
filename,hicazkar--pesrev--berefsan----gazi_giray_han.txt
note_count,1226
unique_note_count,15
minimum_koma53,-1
maximum_koma53,362
mean_koma53,317.1068515497553
median_koma53,318.0
std_koma53,47.84375081234178
koma53_range,363
total_unit_duration,212.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.1729200652528548
median_unit_duration,0.125
std_unit_duration,0.11345422343881509
most_common_note,D5
most_common_note_count,203
