Variable,Value
makam,hicazkar
form,sarki
usul,aksak
title,acil_ey_gonce
composer,haci_arif_bey
filename,hicazkar--sarki--aksak--acil_ey_gonce--haci_arif_bey.txt
note_count,389
unique_note_count,12
minimum_koma53,-1
maximum_koma53,366
mean_koma53,311.1516709511568
median_koma53,332.0
std_koma53,83.36511500952446
koma53_range,367
total_unit_duration,39.125
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.1005784061696658
median_unit_duration,0.0625
std_unit_duration,0.08493849895465337
most_common_note,G5
most_common_note_count,68
