Variable,Value
makam,hicazkar
form,sarki
usul,aksak
title,bekledim_fecre
composer,rakim_elkutlu
filename,hicazkar--sarki--aksak--bekledim_fecre--rakim_elkutlu.txt
note_count,299
unique_note_count,17
minimum_koma53,-1
maximum_koma53,371
mean_koma53,333.5785953177257
median_koma53,335.0
std_koma53,36.7851964958966
koma53_range,372
total_unit_duration,37.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.1245819397993311
median_unit_duration,0.0625
std_unit_duration,0.10933673959724038
most_common_note,G5
most_common_note_count,57
