Variable,Value
makam,hicazkar
form,sarki
usul,aksak
title,bir_yar
composer,k_hafiz_yasar
filename,hicazkar--sarki--aksak--bir_yar--k_hafiz_yasar.txt
note_count,382
unique_note_count,12
minimum_koma53,-1
maximum_koma53,358
mean_koma53,321.28795811518324
median_koma53,329.5
std_koma53,52.610147534874734
koma53_range,359
total_unit_duration,45.125
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.1181282722513089
median_unit_duration,0.0625
std_unit_duration,0.09886693003603295
most_common_note,D5
most_common_note_count,66
