Variable,Value
makam,hicazkar
form,sarki
usul,nimsofyan
title,camlica_yollari
composer,amir_ates
filename,hicazkar--sarki--nimsofyan--camlica_yollari--amir_ates.txt
note_count,290
unique_note_count,13
minimum_koma53,-1
maximum_koma53,371
mean_koma53,314.6275862068965
median_koma53,332.0
std_koma53,73.21820682564166
koma53_range,372
total_unit_duration,24.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.08362068965517241
median_unit_duration,0.0625
std_unit_duration,0.04763587471723767
most_common_note,E5b4
most_common_note_count,45
