Variable,Value
makam,hisarbuselik
form,sarki
usul,aksak
title,eyle_kerem
composer,numan_aga
filename,hisarbuselik--sarki--aksak--eyle_kerem--numan_aga.txt
note_count,534
unique_note_count,17
minimum_koma53,-1
maximum_koma53,380
mean_koma53,329.26591760299624
median_koma53,336.0
std_koma53,44.15982909845163
koma53_range,381
total_unit_duration,42.5625
minimum_unit_duration,0.03125
maximum_unit_duration,0.25
mean_unit_duration,0.07970505617977527
median_unit_duration,0.0625
std_unit_duration,0.0454236064939797
most_common_note,E5
most_common_note_count,87
