Variable,Value
makam,hisarbuselik
form,sarki
usul,duyek
title,daha_bilmem
composer,akin_ozkan
filename,hisarbuselik--sarki--duyek--daha_bilmem--akin_ozkan.txt
note_count,405
unique_note_count,25
minimum_koma53,-1
maximum_koma53,380
mean_koma53,310.0814814814815
median_koma53,327.0
std_koma53,76.36773188361236
koma53_range,381
total_unit_duration,47.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.11635802469135803
median_unit_duration,0.0625
std_unit_duration,0.09340162117261487
most_common_note,E5
most_common_note_count,78
