Variable,Value
makam,hisarbuselik
form,sarki
usul,duyek
title,du_cesmimden
composer,tanburi_mustafa_cavus
filename,hisarbuselik--sarki--duyek--du_cesmimden--tanburi_mustafa_cavus.txt
note_count,478
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,314.7384937238494
median_koma53,327.0
std_koma53,60.27070851983731
koma53_range,372
total_unit_duration,45.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.25
mean_unit_duration,0.09440376569037658
median_unit_duration,0.0625
std_unit_duration,0.05455590814634514
most_common_note,E5
most_common_note_count,92
