Variable,Value
makam,hisarbuselik
form,sarki
usul,turkaksagi
title,bir_nevcivansin
composer,rahmi_bey
filename,hisarbuselik--sarki--turkaksagi--bir_nevcivansin--rahmi_bey.txt
note_count,371
unique_note_count,22
minimum_koma53,-1
maximum_koma53,380
mean_koma53,319.3099730458221
median_koma53,336.0
std_koma53,68.15212223500018
koma53_range,381
total_unit_duration,35.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.25
mean_unit_duration,0.09467654986522911
median_unit_duration,0.0625
std_unit_duration,0.057285433449890864
most_common_note,E5
most_common_note_count,71
