Variable,Value
makam,hisarbuselik
form,sazsemaisi
usul,aksaksemai
title,
composer,tanburi_buyuk_osman_bey
filename,hisarbuselik--sazsemaisi--aksaksemai----tanburi_buyuk_osman_bey.txt
note_count,592
unique_note_count,20
minimum_koma53,-1
maximum_koma53,389
mean_koma53,314.8006756756757
median_koma53,333.5
std_koma53,76.74120351967122
koma53_range,390
total_unit_duration,72.875
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.12309966216216216
median_unit_duration,0.125
std_unit_duration,0.07484176336132708
most_common_note,E5
most_common_note_count,85
