Variable,Value
makam,huseyni
form,pesrev
usul,cifteduyek
title,
composer,tanburi_isak
filename,huseyni--pesrev--cifteduyek----tanburi_isak.txt
note_count,336
unique_note_count,12
minimum_koma53,-1
maximum_koma53,358
mean_koma53,304.6190476190476
median_koma53,318.0
std_koma53,74.03700644051158
koma53_range,359
total_unit_duration,56.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.16703869047619047
median_unit_duration,0.125
std_unit_duration,0.088782452498863
most_common_note,C5
most_common_note_count,66
