Variable,Value
makam,huseyni
form,pesrev
usul,devrikebir
title,
composer,iii_selim
filename,huseyni--pesrev--devrikebir----iii_selim.txt
note_count,795
unique_note_count,17
minimum_koma53,-1
maximum_koma53,380
mean_koma53,324.54591194968555
median_koma53,336.0
std_koma53,67.31439707199375
koma53_range,381
total_unit_duration,112.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.14119496855345912
median_unit_duration,0.125
std_unit_duration,0.07418418412064061
most_common_note,E5
most_common_note_count,139
