Variable,Value
makam,huseyni
form,sarki
usul,devrihindi
title,gormek_ister
composer,tanburi_cemil_bey
filename,huseyni--sarki--devrihindi--gormek_ister--tanburi_cemil_bey.txt
note_count,522
unique_note_count,14
minimum_koma53,-1
maximum_koma53,380
mean_koma53,335.43486590038316
median_koma53,336.0
std_koma53,30.41385321291031
koma53_range,381
total_unit_duration,73.75
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.14128352490421456
median_unit_duration,0.125
std_unit_duration,0.0987225106581463
most_common_note,E5
most_common_note_count,103
