Variable,Value
makam,huseyni
form,sazsemaisi
usul,aksaksemai
title,
composer,lavtaci_andon
filename,huseyni--sazsemaisi--aksaksemai----lavtaci_andon.txt
note_count,653
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,322.43185298621745
median_koma53,327.0
std_koma53,50.272451222605746
koma53_range,372
total_unit_duration,70.25
minimum_unit_duration,0.03125
maximum_unit_duration,1.5
mean_unit_duration,0.10758039816232771
median_unit_duration,0.0625
std_unit_duration,0.09209863722485571
most_common_note,E5
most_common_note_count,134
