Variable,Value
makam,huseyni
form,turku
usul,sofyan
title,sabahin_seher
composer,
filename,huseyni--turku--sofyan--sabahin_seher--.txt
note_count,137
unique_note_count,7
minimum_koma53,-1
maximum_koma53,349
mean_koma53,302.9270072992701
median_koma53,327.0
std_koma53,86.70772703172018
koma53_range,350
total_unit_duration,11.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.25
mean_unit_duration,0.08211678832116788
median_unit_duration,0.0625
std_unit_duration,0.03193353983008872
most_common_note,E5
most_common_note_count,22
