Variable,Value
makam,huzzam
form,sarki
usul,aksak
title,zamani_var_ki
composer,klarnet_ibrahim_efendi
filename,huzzam--sarki--aksak--zamani_var_ki--klarnet_ibrahim_efendi.txt
note_count,436
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,328.151376146789
median_koma53,333.0
std_koma53,50.25397586316818
koma53_range,372
total_unit_duration,48.5
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.11123853211009174
median_unit_duration,0.0625
std_unit_duration,0.07715198007248236
most_common_note,D5
most_common_note_count,86
