Variable,Value
makam,huzzam
form,sarki
usul,curcuna
title,askinla_surunsem
composer,selahaddin_pinar
filename,huzzam--sarki--curcuna--askinla_surunsem--selahaddin_pinar.txt
note_count,535
unique_note_count,21
minimum_koma53,-1
maximum_koma53,380
mean_koma53,327.93457943925233
median_koma53,343.0
std_koma53,66.73555490826878
koma53_range,381
total_unit_duration,81.375
minimum_unit_duration,0.0625
maximum_unit_duration,1.25
mean_unit_duration,0.15210280373831775
median_unit_duration,0.125
std_unit_duration,0.1692809304649836
most_common_note,G5
most_common_note_count,97
