Variable,Value
makam,huzzam
form,sarki
usul,duyek
title,kalbimin_sahibi
composer,sekip_ayhan_ozisik
filename,huzzam--sarki--duyek--kalbimin_sahibi--sekip_ayhan_ozisik.txt
note_count,350
unique_note_count,14
minimum_koma53,-1
maximum_koma53,371
mean_koma53,313.65714285714284
median_koma53,333.0
std_koma53,83.07963620345681
koma53_range,372
total_unit_duration,45.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.625
mean_unit_duration,0.12892857142857142
median_unit_duration,0.125
std_unit_duration,0.09395078444412694
most_common_note,D5
most_common_note_count,64
