Variable,Value
makam,huzzam
form,sarki
usul,duyek
title,pisman_olur_da
composer,irfan_ozbakir
filename,huzzam--sarki--duyek--pisman_olur_da--irfan_ozbakir.txt
note_count,570
unique_note_count,16
minimum_koma53,-1
maximum_koma53,380
mean_koma53,329.57894736842104
median_koma53,333.0
std_koma53,51.022944412636654
koma53_range,381
total_unit_duration,66.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.75
mean_unit_duration,0.11600877192982456
median_unit_duration,0.0625
std_unit_duration,0.10610323315421087
most_common_note,F5#4
most_common_note_count,112
