Variable,Value
makam,huzzam
form,sarki
usul,senginsemai
title,acmam_acamam
composer,nasibin_mehmet_yuru
filename,huzzam--sarki--senginsemai--acmam_acamam--nasibin_mehmet_yuru.txt
note_count,569
unique_note_count,17
minimum_koma53,0
maximum_koma53,366
mean_koma53,335.3585237258348
median_koma53,333.0
std_koma53,19.2851499627144
koma53_range,366
total_unit_duration,55.75
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.09797891036906854
median_unit_duration,0.0625
std_unit_duration,0.0941944055776163
most_common_note,F5#4
most_common_note_count,119
