Variable,Value
makam,huzzam
form,sarki
usul,senginsemai
title,sen_sanki_baharin
composer,musa_sureyya_bey
filename,huzzam--sarki--senginsemai--sen_sanki_baharin--musa_sureyya_bey.txt
note_count,438
unique_note_count,15
minimum_koma53,0
maximum_koma53,380
mean_koma53,336.3333333333333
median_koma53,333.0
std_koma53,22.572909247238336
koma53_range,380
total_unit_duration,47.0
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.10730593607305935
median_unit_duration,0.0625
std_unit_duration,0.08592147251046511
most_common_note,D5
most_common_note_count,85
