Variable,Value
makam,huzzam
form,sarki
usul,sofyan
title,seni_cilgin
composer,akin_ozkan
filename,huzzam--sarki--sofyan--seni_cilgin--akin_ozkan.txt
note_count,236
unique_note_count,11
minimum_koma53,-1
maximum_koma53,358
mean_koma53,310.0805084745763
median_koma53,327.0
std_koma53,82.1816739508108
koma53_range,359
total_unit_duration,32.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.13665254237288135
median_unit_duration,0.125
std_unit_duration,0.0840304341643506
most_common_note,D5
most_common_note_count,47
