Variable,Value
makam,huzzam
form,sarki
usul,turkaksagi
title,baglandi_gonul
composer,selanikli_ahmed_bey
filename,huzzam--sarki--turkaksagi--baglandi_gonul--selanikli_ahmed_bey.txt
note_count,472
unique_note_count,14
minimum_koma53,0
maximum_koma53,371
mean_koma53,339.82838983050846
median_koma53,343.0
std_koma53,21.168272315327542
koma53_range,371
total_unit_duration,44.75
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.0948093220338983
median_unit_duration,0.0625
std_unit_duration,0.06026142338664074
most_common_note,G5
most_common_note_count,101
