Variable,Value
makam,huzzam
form,sarki
usul,turkaksagi
title,meftun_olali
composer,haci_arif_bey
filename,huzzam--sarki--turkaksagi--meftun_olali--haci_arif_bey.txt
note_count,546
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,332.68498168498166
median_koma53,333.0
std_koma53,31.43999138740389
koma53_range,372
total_unit_duration,49.75
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.09111721611721611
median_unit_duration,0.0625
std_unit_duration,0.06264496579741034
most_common_note,D5
most_common_note_count,118
