Variable,Value
makam,huzzam
form,turku
usul,aksak
title,duriyemin_gugumleri
composer,
filename,huzzam--turku--aksak--duriyemin_gugumleri--.txt
note_count,326
unique_note_count,10
minimum_koma53,-1
maximum_koma53,358
mean_koma53,328.12576687116564
median_koma53,333.0
std_koma53,46.70581724790515
koma53_range,359
total_unit_duration,51.875
minimum_unit_duration,0.0625
maximum_unit_duration,0.625
mean_unit_duration,0.15912576687116564
median_unit_duration,0.125
std_unit_duration,0.08106931210263668
most_common_note,D5
most_common_note_count,75
