Variable,Value
makam,isfahan
form,pesrev
usul,fahte
title,
composer,kanuni_sait_bey
filename,isfahan--pesrev--fahte----kanuni_sait_bey.txt
note_count,641
unique_note_count,16
minimum_koma53,-1
maximum_koma53,371
mean_koma53,308.9329173166927
median_koma53,327.0
std_koma53,79.18502971131738
koma53_range,372
total_unit_duration,96.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.1501560062402496
median_unit_duration,0.125
std_unit_duration,0.067000527431568
most_common_note,D5
most_common_note_count,119
