Variable,Value
makam,isfahan
form,sarki
usul,musemmen
title,dusme_ey_asik
composer,nikogos_aga
filename,isfahan--sarki--musemmen--dusme_ey_asik--nikogos_aga.txt
note_count,170
unique_note_count,11
minimum_koma53,-1
maximum_koma53,358
mean_koma53,319.2705882352941
median_koma53,327.0
std_koma53,51.455015853235004
koma53_range,359
total_unit_duration,23.75
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.13970588235294118
median_unit_duration,0.125
std_unit_duration,0.06370659186340125
most_common_note,D5
most_common_note_count,47
