Variable,Value
makam,karcigar
form,sarki
usul,aksak
title,ari_olsam
composer,necmi_piskin
filename,karcigar--sarki--aksak--ari_olsam--necmi_piskin.txt
note_count,653
unique_note_count,9
minimum_koma53,0
maximum_koma53,362
mean_koma53,332.0719754977029
median_koma53,333.0
std_koma53,21.32999620165435
koma53_range,362
total_unit_duration,102.875
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.15754211332312404
median_unit_duration,0.125
std_unit_duration,0.07355176479266812
most_common_note,D5
most_common_note_count,103
