Variable,Value
makam,karcigar
form,seyir
usul,semai
title,1
composer,rauf_yekta
filename,karcigar--seyir--semai--1--rauf_yekta.txt
note_count,79
unique_note_count,9
minimum_koma53,-1
maximum_koma53,358
mean_koma53,312.126582278481
median_koma53,327.0
std_koma53,74.00092984318917
koma53_range,359
total_unit_duration,24.0
minimum_unit_duration,0.25
maximum_unit_duration,0.5
mean_unit_duration,0.3037974683544304
median_unit_duration,0.25
std_unit_duration,0.10339498323231726
most_common_note,D5
most_common_note_count,18
