Variable,Value
makam,kurdi
form,ornek_oz
usul,devrihindi
title,1
composer,ruhi_ayangil
filename,kurdi--ornek_oz--devrihindi--1--ruhi_ayangil.txt
note_count,23
unique_note_count,8
minimum_koma53,305
maximum_koma53,358
mean_koma53,327.5217391304348
median_koma53,327.0
std_koma53,15.341179180758123
koma53_range,53
total_unit_duration,3.5
minimum_unit_duration,0.125
maximum_unit_duration,0.25
mean_unit_duration,0.15217391304347827
median_unit_duration,0.125
std_unit_duration,0.05271764597958125
most_common_note,C5
most_common_note_count,4
