Variable,Value
makam,kurdilihicazkar
form,sarki
usul,aksak
title,safalar_getirdiniz
composer,avni_anil
filename,kurdilihicazkar--sarki--aksak--safalar_getirdiniz--avni_anil.txt
note_count,840
unique_note_count,14
minimum_koma53,-1
maximum_koma53,362
mean_koma53,324.7809523809524
median_koma53,340.0
std_koma53,58.51562442487688
koma53_range,363
total_unit_duration,121.625
minimum_unit_duration,0.0625
maximum_unit_duration,1.125
mean_unit_duration,0.14479166666666668
median_unit_duration,0.125
std_unit_duration,0.10094055714468088
most_common_note,G5
most_common_note_count,224
