Variable,Value
makam,kurdilihicazkar
form,sarki
usul,aydin
title,gozlerin_mavi
composer,refik_fersan
filename,kurdilihicazkar--sarki--aydin--gozlerin_mavi--refik_fersan.txt
note_count,548
unique_note_count,16
minimum_koma53,-1
maximum_koma53,362
mean_koma53,316.18065693430657
median_koma53,327.0
std_koma53,64.23857377058998
koma53_range,363
total_unit_duration,45.875
minimum_unit_duration,0.03125
maximum_unit_duration,0.25
mean_unit_duration,0.08371350364963503
median_unit_duration,0.0625
std_unit_duration,0.05109177652429874
most_common_note,D5
most_common_note_count,94
