Variable,Value
makam,kurdilihicazkar
form,sarki
usul,duyek
title,her_kimde
composer,civan_aga
filename,kurdilihicazkar--sarki--duyek--her_kimde--civan_aga.txt
note_count,633
unique_note_count,16
minimum_koma53,-1
maximum_koma53,380
mean_koma53,320.61927330173773
median_koma53,331.0
std_koma53,63.509832350332
koma53_range,381
total_unit_duration,56.890625
minimum_unit_duration,0.03125
maximum_unit_duration,0.75
mean_unit_duration,0.08987460505529225
median_unit_duration,0.0625
std_unit_duration,0.06727286513359299
most_common_note,D5
most_common_note_count,95
