Variable,Value
makam,kurdilihicazkar
form,sarki
usul,duyek
title,sevmek_aci
composer,avni_anil
filename,kurdilihicazkar--sarki--duyek--sevmek_aci--avni_anil.txt
note_count,408
unique_note_count,13
minimum_koma53,-1
maximum_koma53,371
mean_koma53,316.05882352941177
median_koma53,340.0
std_koma53,86.74771503884227
koma53_range,372
total_unit_duration,51.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.1253063725490196
median_unit_duration,0.0625
std_unit_duration,0.10614878996199859
most_common_note,G5
most_common_note_count,92
