Variable,Value
makam,kurdilihicazkar
form,sarki
usul,sofyan
title,seni_ben
composer,baki_duyarlar
filename,kurdilihicazkar--sarki--sofyan--seni_ben--baki_duyarlar.txt
note_count,712
unique_note_count,13
minimum_koma53,-1
maximum_koma53,380
mean_koma53,321.87780898876406
median_koma53,327.0
std_koma53,50.95595805770009
koma53_range,381
total_unit_duration,74.25
minimum_unit_duration,0.03125
maximum_unit_duration,1.0
mean_unit_duration,0.10428370786516854
median_unit_duration,0.0625
std_unit_duration,0.10988044039096657
most_common_note,E5b5
most_common_note_count,109
