Variable,Value
makam,kurdilihicazkar
form,sarki
usul,yuruksemai_ii
title,ey_mutrib-i
composer,rahmi_bey
filename,kurdilihicazkar--sarki--yuruksemai_ii--ey_mutrib-i--rahmi_bey.txt
note_count,340
unique_note_count,20
minimum_koma53,-1
maximum_koma53,380
mean_koma53,324.6205882352941
median_koma53,327.0
std_koma53,41.08492018149269
koma53_range,381
total_unit_duration,53.75
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.15808823529411764
median_unit_duration,0.125
std_unit_duration,0.10554249312615135
most_common_note,D5
most_common_note_count,53
