Variable,Value
makam,kurdilihicazkar
form,sazsemaisi
usul,aksaksemai
title,
composer,yalcin_tura
filename,kurdilihicazkar--sazsemaisi--aksaksemai----yalcin_tura.txt
note_count,574
unique_note_count,25
minimum_koma53,-1
maximum_koma53,380
mean_koma53,313.83449477351917
median_koma53,318.0
std_koma53,51.47844356464696
koma53_range,381
total_unit_duration,92.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.625
mean_unit_duration,0.1604965156794425
median_unit_duration,0.125
std_unit_duration,0.08496106790402032
most_common_note,D5
most_common_note_count,98
