Variable,Value
makam,kurdilihicazkar
form,seyir
usul,sofyan
title,1
composer,erol_bingol
filename,kurdilihicazkar--seyir--sofyan--1--erol_bingol.txt
note_count,59
unique_note_count,11
minimum_koma53,296
maximum_koma53,362
mean_koma53,331.0
median_koma53,331.0
std_koma53,16.368599038487034
koma53_range,66
total_unit_duration,8.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.13559322033898305
median_unit_duration,0.125
std_unit_duration,0.09994108068465206
most_common_note,F5
most_common_note_count,10
