Variable,Value
makam,mahur
form,agirsemai
usul,aksaksemai
title,sarsam_miyanin
composer,ebubekir_aga
filename,mahur--agirsemai--aksaksemai--sarsam_miyanin--ebubekir_aga.txt
note_count,671
unique_note_count,23
minimum_koma53,-1
maximum_koma53,380
mean_koma53,304.8777943368107
median_koma53,336.0
std_koma53,93.24375037386957
koma53_range,381
total_unit_duration,104.5
minimum_unit_duration,0.03125
maximum_unit_duration,1.5
mean_unit_duration,0.1557377049180328
median_unit_duration,0.125
std_unit_duration,0.19677324896706133
most_common_note,G5
most_common_note_count,90
