Variable,Value
makam,mahur
form,sarki
usul,agir_aksaksemai
title,sen_seh-i
composer,iii_selim
filename,mahur--sarki--agir_aksaksemai--sen_seh-i--iii_selim.txt
note_count,216
unique_note_count,15
minimum_koma53,-1
maximum_koma53,367
mean_koma53,318.85185185185185
median_koma53,336.0
std_koma53,65.67960496366129
koma53_range,368
total_unit_duration,27.375
minimum_unit_duration,0.041666666666666664
maximum_unit_duration,1.0
mean_unit_duration,0.1267361111111111
median_unit_duration,0.0625
std_unit_duration,0.12800411436580328
most_common_note,G5
most_common_note_count,34
