Variable,Value
makam,mahur
form,sarki
usul,aksak
title,ben_derdime
composer,arif_sami_toker
filename,mahur--sarki--aksak--ben_derdime--arif_sami_toker.txt
note_count,349
unique_note_count,14
minimum_koma53,-1
maximum_koma53,371
mean_koma53,292.4212034383954
median_koma53,336.0
std_koma53,113.09868901613433
koma53_range,372
total_unit_duration,78.875
minimum_unit_duration,0.0625
maximum_unit_duration,1.125
mean_unit_duration,0.2260028653295129
median_unit_duration,0.125
std_unit_duration,0.19617589747567613
most_common_note,D5
most_common_note_count,47
