Variable,Value
makam,mahur
form,sarki
usul,aksak
title,yeniden_eski
composer,ismail_baha_surelsan
filename,mahur--sarki--aksak--yeniden_eski--ismail_baha_surelsan.txt
note_count,401
unique_note_count,18
minimum_koma53,-1
maximum_koma53,389
mean_koma53,336.48877805486285
median_koma53,344.0
std_koma53,30.960224462253457
koma53_range,390
total_unit_duration,40.625
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.10130922693266833
median_unit_duration,0.0625
std_unit_duration,0.06657673262597733
most_common_note,G5
most_common_note_count,74
