Variable,Value
makam,mahur
form,sarki
usul,duyek
title,ipek_saclarin
composer,sadettin_kaynak
filename,mahur--sarki--duyek--ipek_saclarin--sadettin_kaynak.txt
note_count,386
unique_note_count,19
minimum_koma53,-1
maximum_koma53,380
mean_koma53,298.5854922279793
median_koma53,327.0
std_koma53,96.92162691063245
koma53_range,381
total_unit_duration,32.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.08322538860103627
median_unit_duration,0.0625
std_unit_duration,0.07361094667661745
most_common_note,G5
most_common_note_count,47
