Variable,Value
makam,mahur
form,turku
usul,kapali_curcuna
title,indim_yarin
composer,
filename,mahur--turku--kapali_curcuna--indim_yarin--.txt
note_count,301
unique_note_count,9
minimum_koma53,-1
maximum_koma53,358
mean_koma53,320.90365448504986
median_koma53,327.0
std_koma53,45.17145876103872
koma53_range,359
total_unit_duration,60.125
minimum_unit_duration,0.125
maximum_unit_duration,0.5
mean_unit_duration,0.19975083056478404
median_unit_duration,0.125
std_unit_duration,0.10009339492514577
most_common_note,G5
most_common_note_count,48
