Variable,Value
makam,mahurbuselik
form,kupe
usul,aksak
title,ey_gozu
composer,ahmet_avni_konuk
filename,mahurbuselik--kupe--aksak--ey_gozu--ahmet_avni_konuk.txt
note_count,102
unique_note_count,13
minimum_koma53,-1
maximum_koma53,371
mean_koma53,308.96078431372547
median_koma53,336.0
std_koma53,92.73937947985988
koma53_range,372
total_unit_duration,18.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.17647058823529413
median_unit_duration,0.125
std_unit_duration,0.1038446293612496
most_common_note,G5
most_common_note_count,17
