Variable,Value
makam,muhayyer
form,sarki
usul,aksak
title,dilde_rast
composer,serif_icli
filename,muhayyer--sarki--aksak--dilde_rast--serif_icli.txt
note_count,271
unique_note_count,15
minimum_koma53,0
maximum_koma53,389
mean_koma53,346.3542435424354
median_koma53,349.0
std_koma53,29.943650326715606
koma53_range,389
total_unit_duration,26.75
minimum_unit_duration,0.03125
maximum_unit_duration,0.25
mean_unit_duration,0.09870848708487084
median_unit_duration,0.0625
std_unit_duration,0.06353816935307192
most_common_note,A5
most_common_note_count,54
