Variable,Value
makam,muhayyer
form,sarki
usul,aksak
title,humari_yok
composer,haci_arif_bey
filename,muhayyer--sarki--aksak--humari_yok--haci_arif_bey.txt
note_count,380
unique_note_count,17
minimum_koma53,-1
maximum_koma53,380
mean_koma53,329.2236842105263
median_koma53,344.0
std_koma53,64.0447565066415
koma53_range,381
total_unit_duration,46.625
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.12269736842105264
median_unit_duration,0.09375
std_unit_duration,0.08917106085115492
most_common_note,A5
most_common_note_count,56
