Variable,Value
makam,muhayyer
form,sarki
usul,aksaksemai
title,gun_kavustu
composer,udi_nevres_bey
filename,muhayyer--sarki--aksaksemai--gun_kavustu--udi_nevres_bey.txt
note_count,300
unique_note_count,16
minimum_koma53,-1
maximum_koma53,380
mean_koma53,334.73
median_koma53,340.0
std_koma53,34.36529759699115
koma53_range,381
total_unit_duration,30.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.625
mean_unit_duration,0.10041666666666667
median_unit_duration,0.0625
std_unit_duration,0.08410301604397019
most_common_note,A5
most_common_note_count,42
