Variable,Value
makam,muhayyer
form,sarki
usul,duyek
title,cile_bulbulum
composer,sadettin_kaynak
filename,muhayyer--sarki--duyek--cile_bulbulum--sadettin_kaynak.txt
note_count,467
unique_note_count,15
minimum_koma53,-1
maximum_koma53,380
mean_koma53,313.41755888650965
median_koma53,336.0
std_koma53,86.23960503406548
koma53_range,381
total_unit_duration,64.125
minimum_unit_duration,0.03125
maximum_unit_duration,1.0
mean_unit_duration,0.13731263383297646
median_unit_duration,0.125
std_unit_duration,0.1011356325815433
most_common_note,A5
most_common_note_count,72
